trial,token_set,accepted,cert_trigger,witness_size,equal_updates
233,EMPTY,0,bot,0,1
234,EMPTY,0,bot,0,1
235,t_h0,1,sup_h0,1,1
236,"t_h0,t_h1",1,sup_h0,1,1
237,EMPTY,0,bot,0,1
238,"t_h0,t_h1",1,sup_h0,1,1
239,t_h1,1,sup_h1,1,1
240,t_h0,1,sup_h0,1,1
241,t_h1,1,sup_h1,1,1
242,t_h1,1,sup_h1,1,1
243,"t_h0,t_h1",1,sup_h0,1,1
244,t_h0,1,sup_h0,1,1
245,t_h1,1,sup_h1,1,1
246,t_h1,1,sup_h1,1,1
247,"t_h0,t_h1",1,sup_h0,1,1
248,EMPTY,0,bot,0,1
249,t_h0,1,sup_h0,1,1
250,EMPTY,0,bot,0,1
251,t_h1,1,sup_h1,1,1
252,t_h0,1,sup_h0,1,1
253,t_h1,1,sup_h1,1,1
254,t_h0,1,sup_h0,1,1
255,t_h0,1,sup_h0,1,1
256,t_h0,1,sup_h0,1,1
257,t_h0,1,sup_h0,1,1
258,t_h0,1,sup_h0,1,1
259,t_h0,1,sup_h0,1,1
260,t_h1,1,sup_h1,1,1
261,"t_h0,t_h1",1,sup_h0,1,1
262,t_h1,1,sup_h1,1,1
263,"t_h0,t_h1",1,sup_h0,1,1
264,t_h0,1,sup_h0,1,1
265,"t_h0,t_h1",1,sup_h0,1,1
266,"t_h0,t_h1",1,sup_h0,1,1
267,t_h0,1,sup_h0,1,1
268,t_h0,1,sup_h0,1,1
269,EMPTY,0,bot,0,1
270,"t_h0,t_h1",1,sup_h0,1,1
271,EMPTY,0,bot,0,1
272,t_h1,1,sup_h1,1,1
273,t_h0,1,sup_h0,1,1
274,t_h1,1,sup_h1,1,1
275,t_h1,1,sup_h1,1,1
276,"t_h0,t_h1",1,sup_h0,1,1
277,t_h1,1,sup_h1,1,1
278,EMPTY,0,bot,0,1
279,t_h0,1,sup_h0,1,1
280,t_h1,1,sup_h1,1,1
281,EMPTY,0,bot,0,1
282,EMPTY,0,bot,0,1
283,EMPTY,0,bot,0,1
284,EMPTY,0,bot,0,1
285,t_h0,1,sup_h0,1,1
286,EMPTY,0,bot,0,1
287,EMPTY,0,bot,0,1
288,t_h0,1,sup_h0,1,1
289,t_h0,1,sup_h0,1,1
290,t_h0,1,sup_h0,1,1
291,"t_h0,t_h1",1,sup_h0,1,1
292,t_h1,1,sup_h1,1,1
293,t_h1,1,sup_h1,1,1
294,EMPTY,0,bot,0,1
295,t_h0,1,sup_h0,1,1
296,"t_h0,t_h1",1,sup_h0,1,1
297,t_h1,1,sup_h1,1,1
298,"t_h0,t_h1",1,sup_h0,1,1
299,t_h1,1,sup_h1,1,1
300,t_h0,1,sup_h0,1,1
301,t_h1,1,sup_h1,1,1
302,"t_h0,t_h1",1,sup_h0,1,1
303,"t_h0,t_h1",1,sup_h0,1,1
304,EMPTY,0,bot,0,1
305,t_h0,1,sup_h0,1,1
306,"t_h0,t_h1",1,sup_h0,1,1
307,EMPTY,0,bot,0,1
308,"t_h0,t_h1",1,sup_h0,1,1
309,t_h1,1,sup_h1,1,1
310,"t_h0,t_h1",1,sup_h0,1,1
311,t_h1,1,sup_h1,1,1
312,EMPTY,0,bot,0,1
313,t_h0,1,sup_h0,1,1
314,t_h1,1,sup_h1,1,1
315,EMPTY,0,bot,0,1
316,t_h1,1,sup_h1,1,1
317,EMPTY,0,bot,0,1
318,"t_h0,t_h1",1,sup_h0,1,1
319,"t_h0,t_h1",1,sup_h0,1,1
320,t_h1,1,sup_h1,1,1
321,t_h0,1,sup_h0,1,1
322,t_h1,1,sup_h1,1,1
323,t_h0,1,sup_h0,1,1
324,t_h1,1,sup_h1,1,1
325,t_h0,1,sup_h0,1,1
326,EMPTY,0,bot,0,1
327,"t_h0,t_h1",1,sup_h0,1,1
328,t_h1,1,sup_h1,1,1
329,EMPTY,0,bot,0,1
330,t_h0,1,sup_h0,1,1
331,t_h1,1,sup_h1,1,1
332,"t_h0,t_h1",1,sup_h0,1,1
333,EMPTY,0,bot,0,1
334,t_h0,1,sup_h0,1,1
335,t_h1,1,sup_h1,1,1
336,EMPTY,0,bot,0,1
337,t_h0,1,sup_h0,1,1
338,EMPTY,0,bot,0,1
339,EMPTY,0,bot,0,1
340,"t_h0,t_h1",1,sup_h0,1,1
341,t_h1,1,sup_h1,1,1
342,t_h1,1,sup_h1,1,1
343,EMPTY,0,bot,0,1
344,t_h0,1,sup_h0,1,1
345,t_h0,1,sup_h0,1,1
346,EMPTY,0,bot,0,1
347,EMPTY,0,bot,0,1
348,EMPTY,0,bot,0,1
349,EMPTY,0,bot,0,1
350,EMPTY,0,bot,0,1
351,EMPTY,0,bot,0,1
352,t_h0,1,sup_h0,1,1
353,EMPTY,0,bot,0,1
354,"t_h0,t_h1",1,sup_h0,1,1
355,EMPTY,0,bot,0,1
356,t_h0,1,sup_h0,1,1
357,t_h0,1,sup_h0,1,1
358,EMPTY,0,bot,0,1
359,EMPTY,0,bot,0,1
360,EMPTY,0,bot,0,1
361,t_h0,1,sup_h0,1,1
362,"t_h0,t_h1",1,sup_h0,1,1
363,t_h1,1,sup_h1,1,1
364,t_h1,1,sup_h1,1,1
365,"t_h0,t_h1",1,sup_h0,1,1
366,t_h1,1,sup_h1,1,1
367,t_h0,1,sup_h0,1,1
368,"t_h0,t_h1",1,sup_h0,1,1
369,EMPTY,0,bot,0,1
370,t_h1,1,sup_h1,1,1
371,EMPTY,0,bot,0,1
372,"t_h0,t_h1",1,sup_h0,1,1
373,"t_h0,t_h1",1,sup_h0,1,1
374,t_h1,1,sup_h1,1,1
375,t_h0,1,sup_h0,1,1
376,"t_h0,t_h1",1,sup_h0,1,1
377,t_h1,1,sup_h1,1,1
378,"t_h0,t_h1",1,sup_h0,1,1
379,t_h0,1,sup_h0,1,1
380,t_h1,1,sup_h1,1,1
381,"t_h0,t_h1",1,sup_h0,1,1
382,EMPTY,0,bot,0,1
383,"t_h0,t_h1",1,sup_h0,1,1
384,t_h0,1,sup_h0,1,1
385,t_h0,1,sup_h0,1,1
386,"t_h0,t_h1",1,sup_h0,1,1
387,t_h0,1,sup_h0,1,1
388,EMPTY,0,bot,0,1
389,t_h0,1,sup_h0,1,1
390,"t_h0,t_h1",1,sup_h0,1,1
391,EMPTY,0,bot,0,1
392,"t_h0,t_h1",1,sup_h0,1,1
393,t_h1,1,sup_h1,1,1
394,EMPTY,0,bot,0,1
395,t_h1,1,sup_h1,1,1
396,"t_h0,t_h1",1,sup_h0,1,1
397,EMPTY,0,bot,0,1
398,t_h0,1,sup_h0,1,1
399,t_h0,1,sup_h0,1,1
400,"t_h0,t_h1",1,sup_h0,1,1
401,EMPTY,0,bot,0,1
402,"t_h0,t_h1",1,sup_h0,1,1
403,t_h0,1,sup_h0,1,1
404,t_h0,1,sup_h0,1,1
