trial,token_set,accepted,cert_trigger,witness_size,equal_updates
765,EMPTY,0,bot,0,1
766,"t_h0,t_h1",1,sup_h0,1,1
767,"t_h0,t_h1",1,sup_h0,1,1
768,t_h0,1,sup_h0,1,1
769,EMPTY,0,bot,0,1
770,t_h0,1,sup_h0,1,1
771,t_h1,1,sup_h1,1,1
772,EMPTY,0,bot,0,1
773,t_h1,1,sup_h1,1,1
774,t_h1,1,sup_h1,1,1
775,EMPTY,0,bot,0,1
776,EMPTY,0,bot,0,1
777,"t_h0,t_h1",1,sup_h0,1,1
778,"t_h0,t_h1",1,sup_h0,1,1
779,EMPTY,0,bot,0,1
780,EMPTY,0,bot,0,1
781,EMPTY,0,bot,0,1
782,"t_h0,t_h1",1,sup_h0,1,1
783,EMPTY,0,bot,0,1
784,t_h0,1,sup_h0,1,1
785,"t_h0,t_h1",1,sup_h0,1,1
786,"t_h0,t_h1",1,sup_h0,1,1
787,"t_h0,t_h1",1,sup_h0,1,1
788,t_h0,1,sup_h0,1,1
789,t_h0,1,sup_h0,1,1
790,t_h0,1,sup_h0,1,1
791,"t_h0,t_h1",1,sup_h0,1,1
792,"t_h0,t_h1",1,sup_h0,1,1
793,t_h1,1,sup_h1,1,1
794,t_h1,1,sup_h1,1,1
795,"t_h0,t_h1",1,sup_h0,1,1
796,EMPTY,0,bot,0,1
797,t_h1,1,sup_h1,1,1
798,t_h1,1,sup_h1,1,1
799,"t_h0,t_h1",1,sup_h0,1,1
800,"t_h0,t_h1",1,sup_h0,1,1
801,t_h1,1,sup_h1,1,1
802,t_h1,1,sup_h1,1,1
803,t_h0,1,sup_h0,1,1
804,EMPTY,0,bot,0,1
805,"t_h0,t_h1",1,sup_h0,1,1
806,t_h0,1,sup_h0,1,1
807,t_h0,1,sup_h0,1,1
808,EMPTY,0,bot,0,1
809,"t_h0,t_h1",1,sup_h0,1,1
810,EMPTY,0,bot,0,1
811,t_h0,1,sup_h0,1,1
812,EMPTY,0,bot,0,1
813,EMPTY,0,bot,0,1
814,t_h0,1,sup_h0,1,1
815,"t_h0,t_h1",1,sup_h0,1,1
816,t_h1,1,sup_h1,1,1
817,"t_h0,t_h1",1,sup_h0,1,1
818,EMPTY,0,bot,0,1
819,t_h1,1,sup_h1,1,1
820,EMPTY,0,bot,0,1
821,EMPTY,0,bot,0,1
822,"t_h0,t_h1",1,sup_h0,1,1
823,t_h1,1,sup_h1,1,1
824,EMPTY,0,bot,0,1
825,"t_h0,t_h1",1,sup_h0,1,1
826,"t_h0,t_h1",1,sup_h0,1,1
827,t_h1,1,sup_h1,1,1
828,"t_h0,t_h1",1,sup_h0,1,1
829,t_h1,1,sup_h1,1,1
830,EMPTY,0,bot,0,1
831,t_h0,1,sup_h0,1,1
832,EMPTY,0,bot,0,1
