graph,model,lambda,all_wrong_sure,all_correct_sure,mean_conf,frac_wrong
ring,baseline,,0.0,0.0,0.9853342088860227,0.3
ring,baseline,,0.0,0.0,0.9978273825867084,0.45
ring,baseline,,0.0,0.0,0.9912083903861871,0.7
ring,baseline,,0.0,0.0,0.9671394585459699,0.3
ring,baseline,,0.0,0.0,0.9754994436557716,0.5
ring,baseline,,0.0,0.0,0.9871146566159574,0.35
ring,baseline,,0.0,0.0,0.9990833603743822,0.1
ring,baseline,,0.0,0.0,0.9990658679363602,0.6
ring,baseline,,0.0,0.0,0.9933891675381235,0.25
ring,baseline,,0.0,0.0,0.9982878436556044,0.5
ring,baseline,,0.0,0.0,0.9957141546460996,0.8
ring,baseline,,0.0,0.0,0.9989984222299183,0.4
ring,baseline,,0.0,0.0,0.9907343591035087,0.9
ring,baseline,,0.0,0.0,0.9669749887846786,0.45
ring,baseline,,0.0,0.0,0.9873104020679223,0.3
ring,baseline,,0.0,0.0,0.9804637913543697,0.3
ring,baseline,,0.0,0.0,0.9999607621340326,0.85
ring,baseline,,0.0,0.0,0.9945531181905632,0.4
ring,baseline,,0.0,0.0,0.9996358575360315,0.4
ring,baseline,,0.0,0.0,0.9995350852221346,0.55
ring,baseline,,0.0,0.0,0.9945515906843692,0.5
ring,baseline,,0.0,0.0,0.9983731253960973,0.15
ring,baseline,,0.0,0.0,0.9896484030990639,0.45
ring,baseline,,0.0,0.0,0.9917653228650309,0.6
ring,baseline,,0.0,0.0,0.9974054344284122,0.45
ring,baseline,,0.0,0.0,0.994364866276125,0.7
ring,baseline,,0.0,0.0,0.9976399023377084,0.7
ring,baseline,,0.0,0.0,0.9882052073664294,0.45
ring,baseline,,0.0,0.0,0.983822528801009,0.65
ring,baseline,,0.0,0.0,0.999301209852668,0.55
ring,baseline,,0.0,1.0,0.9999999999990002,0.0
ring,baseline,,0.0,0.0,0.9989091161787483,0.45
ring,baseline,,0.0,0.0,0.9997654901051771,0.5
ring,baseline,,0.0,0.0,0.9994170583270587,0.45
ring,baseline,,0.0,0.0,0.9995505181748173,0.7
ring,baseline,,0.0,0.0,0.9890253579064556,0.5
ring,baseline,,0.0,0.0,0.9865864968397297,0.65
ring,baseline,,0.0,0.0,0.9995337231888867,0.25
ring,baseline,,0.0,0.0,0.9995504363456629,0.55
ring,baseline,,0.0,0.0,0.997449373699955,0.55
ring,baseline,,0.0,0.0,0.9989207587892857,0.85
ring,baseline,,0.0,0.0,0.9778263953822751,0.85
ring,baseline,,0.0,0.0,0.9997479871347089,0.55
ring,baseline,,0.0,0.0,0.9990526456780318,0.7
ring,baseline,,0.0,0.0,0.9955882597703702,0.7
ring,baseline,,0.0,0.0,0.9998256929617553,0.25
ring,baseline,,0.0,0.0,0.9993606033246589,0.35
ring,baseline,,0.0,0.0,0.9708297777975993,0.3
ring,baseline,,0.0,0.0,0.995659135590764,0.45
ring,baseline,,0.0,0.0,0.999465345313993,0.15
ring,baseline,,0.0,0.0,0.9840504057199817,0.5
ring,baseline,,0.0,0.0,0.9851877743572596,0.1
ring,baseline,,0.0,0.0,0.9948173837601594,0.5
ring,baseline,,0.0,0.0,0.9945225576708875,0.4
ring,baseline,,0.0,0.0,0.9778387075605899,0.45
ring,baseline,,0.0,0.0,0.9745341233777358,0.25
ring,baseline,,0.0,0.0,0.9868568152560385,0.35
ring,baseline,,0.0,0.0,0.985108257937131,0.4
ring,baseline,,0.0,0.0,0.9727409351747245,0.6
ring,baseline,,0.0,0.0,0.979039581978672,0.45
ring,baseline,,0.0,0.0,0.9972347744461869,0.55
ring,baseline,,0.0,0.0,0.9805824432364085,0.65
ring,baseline,,0.0,0.0,0.9791595312116647,0.6
ring,baseline,,0.0,0.0,0.999639616009158,0.2
ring,baseline,,0.0,0.0,0.9970085904293573,0.5
ring,baseline,,0.0,0.0,0.992267072203781,0.3
ring,baseline,,0.0,0.0,0.9919611881005658,0.4
ring,baseline,,0.0,0.0,0.9950787014187122,0.2
ring,baseline,,0.0,0.0,0.9711138099664035,0.25
ring,baseline,,0.0,0.0,0.9891021674852547,0.6
ring,baseline,,0.0,0.0,0.9996680515797134,0.55
ring,baseline,,0.0,0.0,0.9681050156057653,0.15
ring,baseline,,0.0,0.0,0.9811215780646341,0.25
ring,baseline,,0.0,0.0,0.9950136845156857,0.7
ring,baseline,,0.0,0.0,0.9886064445187921,0.65
ring,baseline,,0.0,0.0,0.9998902507024274,0.5
ring,baseline,,0.0,1.0,0.9999820350610428,0.0
ring,baseline,,0.0,0.0,0.9878177543997462,0.1
ring,baseline,,0.0,0.0,0.996473963155284,0.55
ring,baseline,,0.0,0.0,0.9999426318636804,0.65
ring,baseline,,0.0,0.0,0.9633932159307974,0.65
ring,baseline,,0.0,0.0,0.9963741319402823,0.45
ring,baseline,,0.0,0.0,0.9996131020440517,0.6
ring,baseline,,0.0,0.0,0.9875677753355859,0.6
ring,baseline,,0.0,0.0,0.9994520109094573,0.55
ring,baseline,,0.0,0.0,0.9820384746437307,0.2
ring,baseline,,0.0,0.0,0.9629294682715935,0.55
ring,baseline,,0.0,0.0,0.9967124145314642,0.65
ring,baseline,,0.0,0.0,0.9976209458227754,0.25
ring,baseline,,0.0,0.0,0.9631748183867505,0.8
ring,baseline,,0.0,0.0,0.9887117162309172,0.25
ring,baseline,,0.0,0.0,0.9695937780949475,0.45
ring,baseline,,0.0,0.0,0.9773264749621688,0.45
ring,baseline,,0.0,0.0,0.9914635512522608,0.5
ring,baseline,,0.0,0.0,0.9819576223870765,0.85
ring,baseline,,0.0,0.0,0.9983256272754447,0.2
ring,baseline,,0.0,0.0,0.998348420031736,0.45
ring,baseline,,0.0,0.0,0.9964085129507605,0.55
ring,baseline,,0.0,0.0,0.9976333347680164,0.5
ring,baseline,,0.0,0.0,0.983365980328277,0.45
ring,baseline,,0.0,0.0,0.9928108190814001,0.5
ring,baseline,,0.0,0.0,0.9975101801622861,0.35
ring,baseline,,0.0,0.0,0.9972076859753575,0.7
ring,baseline,,0.0,0.0,0.9678351214099857,0.75
ring,baseline,,0.0,0.0,0.9922763445748725,0.5
ring,baseline,,0.0,0.0,0.9767774367103088,0.6
ring,baseline,,0.0,0.0,0.9977544292355274,0.25
ring,baseline,,0.0,0.0,0.9940044725174998,0.2
ring,baseline,,0.0,0.0,0.9936962901858102,0.7
ring,baseline,,0.0,0.0,0.9936015733684064,0.1
ring,baseline,,0.0,0.0,0.9658159745140937,0.6
ring,baseline,,0.0,0.0,0.9782162490158537,0.5
ring,baseline,,0.0,0.0,0.9986685221105468,0.55
ring,baseline,,0.0,0.0,0.997061500622137,0.6
ring,baseline,,0.0,0.0,0.9781825456596165,0.3
ring,baseline,,0.0,0.0,0.9987360108309241,0.45
ring,baseline,,0.0,0.0,0.9901939563599005,0.55
ring,baseline,,0.0,0.0,0.9974418585197432,0.85
ring,baseline,,0.0,0.0,0.9970038637156291,0.4
ring,baseline,,0.0,0.0,0.9980835529175518,0.5
ring,baseline,,0.0,0.0,0.9878068406553874,0.65
ring,baseline,,0.0,0.0,0.9875584626276759,0.5
ring,baseline,,0.0,0.0,0.9915432484341604,0.35
ring,baseline,,0.0,0.0,0.9990467558189217,0.6
ring,baseline,,0.0,0.0,0.9719596712824078,0.8
ring,baseline,,0.0,0.0,0.9728212368221717,0.7
ring,baseline,,0.0,0.0,0.9975170668398373,0.6
ring,baseline,,0.0,0.0,0.998880266092588,0.3
ring,baseline,,0.0,0.0,0.9987882856222917,0.6
ring,baseline,,0.0,0.0,0.9997320327264188,0.5
ring,baseline,,0.0,0.0,0.9866771048987875,0.35
ring,baseline,,0.0,0.0,0.9997673578859733,0.7
ring,baseline,,0.0,0.0,0.9980439834255138,0.9
ring,baseline,,0.0,0.0,0.9881717394240356,0.25
ring,baseline,,0.0,0.0,0.9885436200367227,0.4
ring,baseline,,0.0,0.0,0.9995427443163551,0.75
ring,baseline,,0.0,0.0,0.9975765926666526,0.8
ring,baseline,,0.0,0.0,0.9733187851882145,0.45
ring,baseline,,0.0,0.0,0.9990856585252317,0.8
ring,baseline,,0.0,0.0,0.9940068260071037,0.7
ring,baseline,,0.0,0.0,0.999066204572309,0.9
ring,baseline,,0.0,0.0,0.9993540642960979,0.4
ring,baseline,,0.0,0.0,0.9965973826584065,0.45
ring,baseline,,0.0,0.0,0.9991402374668026,0.85
ring,baseline,,0.0,0.0,0.9483496840958747,0.3
ring,baseline,,0.0,0.0,0.9880595246172227,0.3
ring,baseline,,0.0,0.0,0.9758879343672835,0.45
ring,baseline,,0.0,0.0,0.9854708243666529,0.2
ring,baseline,,0.0,0.0,0.9920366776230557,0.6
ring,baseline,,0.0,0.0,0.998016636717159,0.45
ring,baseline,,0.0,0.0,0.9989954618219942,0.25
ring,baseline,,0.0,0.0,0.9755402095980241,0.75
ring,baseline,,0.0,0.0,0.9787048365933815,0.5
ring,baseline,,0.0,0.0,0.9865358120007418,0.5
ring,baseline,,0.0,0.0,0.9485632985129753,0.45
ring,baseline,,0.0,0.0,0.9945628013797656,0.5
ring,baseline,,0.0,0.0,0.9782917553873738,0.85
